hp_number,dealer_type,is_vat_registered,tax_status,company_type,company_status
510000011,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000029,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000037,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000045,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000052,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000060,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000078,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000086,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000094,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000102,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000110,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000128,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000136,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000144,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000151,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000169,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000177,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000185,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000193,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000201,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000219,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000227,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000235,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000243,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000250,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000268,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510000276,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000284,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000292,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000300,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000318,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000326,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000334,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000342,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000359,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000367,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000375,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000383,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000417,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000425,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000433,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000441,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000466,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000474,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000482,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000490,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000508,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000516,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000524,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000532,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000540,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000557,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000565,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000573,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000581,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000599,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000607,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000615,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000623,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000631,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000649,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000656,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000664,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000672,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000698,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000706,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510000714,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000722,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000730,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000755,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000763,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000771,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510000789,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000797,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000805,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000813,עוסק פטור,f,active,ישראלית חברה ציבורית,פעילה
510000821,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000839,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000854,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000862,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000870,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000888,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000896,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000904,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000912,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000920,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000938,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510000946,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000961,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510000979,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000987,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510000995,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001001,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001019,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001027,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001035,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001043,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001050,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001068,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001076,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001084,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001092,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001100,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001118,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001126,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001134,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001142,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001159,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001167,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001175,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001183,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001191,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001209,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001217,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001225,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001233,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001241,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001258,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001266,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001274,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001282,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001290,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001316,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001324,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001332,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001340,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001357,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001365,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001373,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001381,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001399,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001407,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001415,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001431,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001449,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001456,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001464,עוסק פטור,f,cancelled,ישראלית חברה פרטית,חיסול ע~י בימ~ש
510001472,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001498,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001506,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001514,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001522,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001530,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001548,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001555,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001563,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001571,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001589,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001597,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001605,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001613,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001621,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001639,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001647,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001654,עוסק פטור,f,cancelled,ישראלית חברה פרטית,חיסול ע~י בימ~ש
510001662,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001670,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510001688,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001696,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001704,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001712,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001720,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001738,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001746,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001753,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001761,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001779,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001787,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001803,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001811,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001829,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק ע~י בימ~ש
510001837,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001845,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת עקב מיזוג
510001852,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001860,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001886,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510001894,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510001902,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001910,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001928,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001936,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001944,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001951,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510001969,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001977,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001985,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510001993,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002009,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002017,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002025,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002033,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002041,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002058,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002066,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510002082,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק ע~י בימ~ש
510002090,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002108,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002116,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002124,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002132,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002140,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002157,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002165,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002173,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002181,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002199,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002207,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002215,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002231,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002249,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002256,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002264,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002272,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002280,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510002298,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510002306,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002314,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002322,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002330,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002348,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002355,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002363,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002371,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002389,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002397,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002405,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002413,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002421,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002439,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002447,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002454,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002462,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002488,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002496,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002504,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002512,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002520,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002546,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510002553,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002561,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002579,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002587,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510002595,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002603,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002611,עוסק פטור,f,cancelled,ישראלית חברה פרטית,פעילה זמנית
510002629,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002637,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002645,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002652,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002660,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002678,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002686,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510002694,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002702,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510002710,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002728,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002744,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002751,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002769,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510002777,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002785,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002793,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002801,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510002819,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002827,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002835,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002843,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002850,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002868,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002876,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002884,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002892,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002900,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002918,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002926,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002934,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002942,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002959,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002967,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510002975,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510002983,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת עקב מיזוג
510002991,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003007,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510003015,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510003023,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003049,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003056,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003064,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003072,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003080,עוסק פטור,f,cancelled,ישראלית חברה פרטית,בפרוק מרצון
510003098,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510003106,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003114,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003122,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510003130,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003148,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510003155,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003163,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003171,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003189,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוסלת מרצון
510003197,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003205,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003213,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003221,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003239,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003247,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003254,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003262,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003270,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003288,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510003296,"חברה בע""מ",t,cancelled,ישראלית חברה פרטית,מחוקה
510003312,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003320,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003338,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003346,עוסק פטור,f,active,ישראלית חברה פרטית,פעילה
510003353,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003361,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003379,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003387,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003395,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003403,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003411,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003437,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003445,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003452,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003460,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003478,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003486,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003494,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003502,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003510,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
510003528,עוסק פטור,f,cancelled,ישראלית חברה פרטית,מחוקה
